Condition,Rat id,EMG_high,EMG_low,EEG_low,EEG_high
0,1,-9.85,-11.5,-7.5,-7.2
1,1,-9.85,-11.2,-7.5,-7.1
2,1,-9.85,-11.2,-7.5,-7.1
3,1,-9.85,-11.2,-7.5,-7.1
5,1,-9.85,-11.2,-7.5,-7.1
6,1,-9.85,-11.2,-7.5,-7.1
0,3,-8,-10,-7.3,-6.5
1,3,-8.6,-10.6,-7.3,-6.5
2,3,-8.7,-10.7,-7.5,-6.9
3,3,-8,-10,-7.3,-6.5
4,3,-8.7,-10.7,-7.5,-6.9
5,3,-8.6,-10.6,-7.5,-6.9
6,3,-8.7,-10.7,-7.5,-6.9
0,4,-10.8,-12.5,-7.5,-7.1
1,4,-11,-12.7,-7.5,-7.1
2,4,-11.8,-13.1,-8.1,-7.5
3,4,-12,-13.3,-8.1,-7.5
4,4,-12.1,-13.3,-8.1,-7.5
5,4,-13,-13.8,-8.1,-7.5
6,4,-12.2,-13.4,-8.1,-7.5
0,6,-9,-10.2,-7.5,-6.8
1,6,-9.2,-10.1,-8,-7.1
2,6,-9.2,-10.1,-8,-7.1
3,6,-9.2,-10.1,-8,-7.1
4,6,-9.2,-10.1,-8,-7.1
5,6,-9,-10.1,-7.6,-6.9
6,6,-9.2,-10.1,-8,-7.1
0,7,-9,-10.3,-7.3,-6.6
1,7,-9.3,-10.5,-7.3,-6.7
2,7,-9.3,-10.7,-7.3,-6.6
3,7,-9.3,-10.5,-7.3,-6.8
4,7,-9.4,-10.7,-7.3,-6.8
5,7,-9.4,-10.7,-7.4,-6.7
6,7,-9.2,-10.1,-7.4,-6.7
0,9,-9,-12,-7.3,-7.3
1,9,-9,-12,-8.2,-7.4
2,9,-9,-12,-7.3,-6.7
3,9,-9,-12,-8.2,-7.4
4,9,-9,-12,-8,-7
5,9,-9,-12,-8.2,-7.4
6,9,-9,-12,-8,-7
0,10,-9.2,-12,-6.9,-6.1
1,10,-9,-12.2,-6.7,-6
2,10,-9,-12.1,-6.6,-6
3,10,-9,-12.2,-6.7,-6
4,10,-9.2,-12.2,-6.6,-6.1
5,10,-9,-12.2,-6.6,-6
6,10,-9,-12.2,-6.6,-6
0,12,-8.3,-10.3,-6.7,-6
1,12,-8.4,-10.6,-6.9,-6.2
2,12,-8.9,-11.5,-7,-6.5
3,12,-8.9,-11.4,-7,-6.5
4,12,-8.5,-10,-6.8,-6
5,12,-8.7,-10.6,-7,-6.4
6,12,-8.9,-10.6,-7,-6.4
